PM2.5,PM10,NO2,SO2,CO,O3,NH3,Temperature,Humidity,WindSpeed,AQI
169.52,257.64,23.06,18.66,2.52,27.61,32.41,29.84,55.88,3.06,495
18.16,38.19,17.84,18.86,2.32,59.7,6.6,25.08,37.2,3.39,114
53.39,94.92,13.09,4.04,0.63,45.98,17.37,24.83,43.27,3.71,197
46.88,81.35,4.01,14.44,3.23,25.03,51.17,30.63,33.02,0.9,161
97.71,187.66,9.63,7.04,1.15,46.51,16.49,26.56,100.0,2.94,330
14.84,31.99,29.34,9.77,0.96,39.53,30.17,33.99,36.51,3.96,76
90.02,126.12,19.92,8.42,0.19,4.92,30.88,29.05,59.25,0.43,242
74.83,153.42,36.66,5.34,1.43,60.91,35.05,22.84,48.09,3.82,263
38.52,70.31,27.0,13.18,0.99,103.23,14.36,17.08,77.61,2.77,171
87.89,125.82,2.0,14.69,1.8,48.51,66.35,25.22,53.11,1.37,256
66.25,103.85,33.9,21.49,0.39,47.73,50.5,27.95,41.58,4.46,254
195.17,338.45,8.27,25.13,0.72,35.83,14.56,30.37,94.26,2.12,500
56.62,108.83,25.05,17.58,0.62,18.81,23.11,15.26,38.46,1.63,208
29.44,44.7,5.45,3.97,2.99,18.36,12.44,23.0,64.34,0.79,101
90.63,161.44,49.05,7.07,0.9,29.82,2.74,39.43,46.03,2.18,293
51.48,98.64,42.79,11.85,0.39,20.24,8.22,28.68,42.95,1.39,212
65.3,111.26,20.7,24.2,0.11,36.07,5.23,34.28,29.77,1.96,219
21.93,45.53,41.63,15.36,1.51,2.0,13.44,17.96,43.6,9.51,106
98.71,205.57,10.29,22.4,1.64,22.88,7.89,32.96,59.02,2.43,316
45.34,78.14,14.64,28.6,0.44,13.52,7.66,25.2,31.4,5.49,160
78.89,171.64,48.09,26.89,0.96,74.73,11.05,26.33,72.96,2.37,354
225.96,309.12,2.0,5.75,2.32,116.56,19.82,19.79,58.61,1.6,500
54.22,70.65,21.34,4.51,1.13,9.17,18.65,27.96,31.17,1.47,208
107.77,177.03,32.1,17.25,1.13,90.64,17.8,34.12,58.56,1.08,368
57.04,105.02,16.86,23.17,0.61,33.56,8.56,16.99,63.59,1.0,194
38.94,72.67,57.41,3.01,1.43,58.23,4.1,21.76,64.59,4.9,207
151.07,261.18,68.63,10.36,1.51,41.4,17.38,26.44,53.99,3.22,500
10.55,14.91,33.83,22.65,0.58,108.89,8.48,39.32,68.32,1.13,98
126.32,183.61,8.34,5.11,0.76,20.4,32.71,24.9,44.39,3.12,306
9.15,18.92,42.18,13.36,1.67,58.67,5.18,21.78,45.67,3.17,75
117.99,245.54,86.29,15.77,1.1,46.27,12.47,33.33,43.58,1.29,474
66.02,125.86,26.01,2.45,1.14,53.46,18.75,29.21,35.9,5.7,251
29.51,56.0,22.2,19.81,0.45,82.96,19.16,21.17,54.18,2.43,154
47.74,87.74,10.95,22.2,0.83,53.54,25.97,33.03,74.8,1.73,172
103.95,154.13,30.87,12.63,0.77,20.65,52.61,32.22,30.63,0.11,328
212.74,358.56,22.77,2.22,2.02,51.38,12.05,20.68,100.0,2.56,500
15.45,29.76,2.0,7.64,0.52,28.52,20.04,39.39,27.12,5.47,65
31.09,55.45,40.34,23.97,1.28,68.49,21.2,28.3,63.2,4.86,158
20.13,26.51,7.39,5.89,2.47,46.95,31.94,20.08,84.67,1.47,100
56.7,122.37,96.3,27.12,1.24,10.3,9.0,39.33,100.0,3.55,296
120.06,247.36,27.32,10.77,1.32,11.53,18.62,34.21,69.72,2.18,381
17.61,27.02,20.77,20.19,1.17,55.87,13.73,26.24,73.93,9.93,134
64.76,120.11,26.38,4.68,1.11,86.71,47.1,32.31,50.41,3.18,269
117.58,250.56,25.13,34.48,1.37,64.21,9.6,23.09,70.72,1.37,399
47.21,65.45,17.88,6.91,0.45,27.17,58.05,24.43,55.83,0.5,153
75.32,132.01,4.88,9.89,1.09,79.28,11.53,26.53,50.66,1.53,265
144.03,246.39,58.29,9.3,0.64,26.32,7.93,21.43,52.02,1.49,463
26.33,43.96,26.1,1.0,0.81,24.35,48.54,17.99,54.91,2.69,124
11.85,24.32,50.87,10.41,2.3,58.18,43.7,38.31,61.38,4.86,124
81.84,134.43,5.66,5.63,0.77,9.72,84.14,11.83,23.6,0.75,243
83.41,113.21,12.59,12.84,0.48,95.89,5.69,35.0,77.89,8.44,237
44.69,60.75,16.65,15.11,1.77,30.1,12.22,32.55,55.15,6.58,189
38.06,50.94,8.57,5.96,2.48,74.37,37.78,17.45,31.63,8.98,165
66.98,111.74,40.28,6.14,1.16,105.54,26.51,25.35,64.66,2.32,261
25.91,50.44,20.11,6.77,2.52,22.3,11.44,28.89,74.95,1.53,120
25.95,38.49,30.26,13.35,0.93,93.08,28.12,32.2,32.66,7.24,108
103.5,194.77,14.4,8.95,1.58,16.55,20.33,20.38,69.47,2.03,313
24.36,46.73,52.38,6.13,1.07,22.77,18.32,26.11,43.33,6.32,139
12.68,19.39,43.75,8.54,0.85,22.8,18.5,29.75,55.65,0.49,82
37.99,69.93,39.38,23.67,0.89,54.19,22.75,19.4,57.15,8.93,196
45.55,87.29,27.28,12.71,1.39,21.74,25.46,17.15,50.76,2.46,162
90.01,154.82,58.31,7.87,2.1,13.55,8.75,26.79,46.01,0.71,321
40.72,65.28,44.12,27.81,1.97,30.95,13.13,17.98,62.13,3.28,204
159.68,296.57,23.32,16.62,0.52,22.68,17.46,18.56,28.59,1.94,463
69.5,151.51,15.68,2.51,1.22,99.44,19.61,28.07,48.03,2.19,245
33.8,56.93,20.03,19.71,0.44,27.19,8.18,22.32,17.01,1.87,129
87.45,144.52,34.98,36.43,1.03,63.07,31.93,22.66,41.29,1.38,296
157.89,271.23,5.61,20.59,2.35,11.7,12.26,37.83,33.48,2.67,452
101.63,139.1,12.1,7.2,2.97,34.21,15.73,32.42,42.31,1.85,310
16.59,29.83,57.71,10.78,1.21,101.08,3.4,34.31,54.76,2.68,150
48.64,77.62,49.01,2.24,0.15,63.81,10.34,21.65,65.12,1.5,178
78.04,109.98,20.16,18.88,0.79,145.39,32.47,27.28,91.6,3.09,272
98.85,169.99,139.64,9.87,0.85,22.41,7.34,33.25,60.24,2.69,430
56.96,74.22,42.41,6.69,0.49,68.52,20.64,28.62,23.3,1.92,236
,85.02,26.3,10.17,1.81,2.0,23.73,32.25,41.75,1.18,181
194.27,271.03,49.64,2.57,1.24,69.37,5.57,22.64,35.71,1.94,500
102.63,135.66,15.12,2.91,1.71,35.18,13.17,21.54,28.66,4.51,287
,178.96,13.13,3.94,2.09,21.1,59.97,17.16,79.25,0.88,278
42.11,89.46,22.62,1.0,0.44,14.68,25.22,30.23,60.62,2.86,141
25.58,38.04,25.33,7.42,3.07,38.61,8.11,31.27,64.72,3.37,156
88.68,158.33,13.16,5.0,0.82,117.23,12.74,31.43,25.21,5.15,316
110.11,170.69,63.18,24.4,1.36,34.75,49.23,22.26,60.13,3.05,402
65.07,113.49,18.67,4.56,1.37,34.84,31.53,30.22,69.21,1.25,196
102.81,174.06,4.28,17.52,0.72,31.92,23.19,36.67,57.56,2.42,305
104.56,161.24,27.33,5.81,0.42,19.1,22.23,34.67,47.28,2.55,306
114.93,221.85,21.23,13.1,1.96,99.56,13.27,35.3,81.58,1.42,384
16.31,23.06,45.78,28.71,0.2,73.45,15.51,13.35,77.77,4.9,149
49.7,66.99,15.27,3.97,0.67,39.45,49.56,36.04,52.21,3.85,205
92.32,183.8,40.56,31.72,1.38,6.75,6.41,20.45,60.74,2.95,319
67.74,128.67,30.49,19.75,1.97,40.39,33.42,29.68,52.54,3.86,291
104.77,183.21,51.71,15.16,1.3,27.81,21.49,26.02,23.17,3.24,333
87.6,150.76,27.15,12.7,1.68,17.28,8.37,20.93,33.53,1.35,279
6.99,12.21,12.57,10.94,0.41,37.19,5.7,20.75,31.66,1.95,57
133.09,225.37,31.66,22.73,0.43,20.68,20.85,31.97,70.82,0.69,426
45.01,74.42,9.64,10.93,0.61,36.51,11.77,28.46,31.71,1.84,126
32.15,56.26,2.57,9.18,0.79,31.96,17.8,22.58,45.6,3.91,145
130.26,231.29,13.46,18.13,1.54,14.48,34.3,14.98,60.49,2.19,362
99.5,191.31,54.03,5.77,0.24,59.58,15.02,16.07,42.05,3.08,360
142.11,275.71,80.85,38.22,0.83,59.87,16.08,16.96,71.69,2.25,500
78.64,128.96,5.51,14.88,1.0,4.24,16.96,39.63,52.45,0.79,249
49.22,82.3,47.82,9.85,1.17,42.8,30.81,32.56,33.24,4.73,210
72.43,118.52,72.07,9.7,1.24,14.44,27.69,35.78,84.71,0.48,283
27.44,48.92,9.37,8.84,0.71,35.19,8.75,24.08,70.25,8.15,89
19.65,33.56,63.62,16.51,1.69,80.81,34.12,15.96,67.76,4.81,198
39.63,83.24,7.58,12.99,0.75,5.58,46.35,31.26,57.93,0.93,141
169.54,326.66,22.71,10.51,0.68,75.64,24.39,29.64,58.67,4.96,500
42.92,90.5,33.22,26.49,1.19,2.0,6.99,26.27,56.96,5.07,179
12.98,25.15,10.13,29.87,0.61,40.23,4.4,27.13,40.19,3.24,98
58.16,126.43,61.03,4.28,3.08,23.34,7.39,44.62,43.02,0.7,241
42.47,79.5,24.56,9.57,1.23,28.17,17.38,28.49,54.9,1.65,162
134.66,291.83,44.78,8.01,0.77,20.02,14.44,15.61,55.93,2.33,432
161.96,233.61,10.71,7.21,1.65,47.88,30.73,25.74,72.33,2.02,445
47.49,63.98,84.03,7.88,0.84,85.15,20.39,21.72,41.54,5.96,207
78.59,143.12,36.19,4.55,1.45,24.57,31.52,25.61,99.94,0.36,277
83.19,181.78,35.09,19.99,2.19,27.24,5.84,34.46,68.82,1.71,331
63.03,105.64,32.78,9.58,0.89,12.4,11.27,29.94,58.16,0.41,232
54.92,81.88,35.47,12.19,1.25,21.84,62.53,22.45,46.51,1.06,222
30.35,53.71,41.78,20.21,0.23,61.71,61.78,32.39,39.26,4.66,152
10.84,20.43,18.72,4.41,1.27,54.13,10.18,36.02,63.31,3.85,108
30.2,47.83,7.14,13.12,1.55,30.62,6.56,27.38,51.5,2.43,109
61.42,119.36,7.49,3.3,1.84,34.5,28.86,32.74,56.99,2.04,232
17.64,38.41,26.19,3.38,2.52,92.97,18.02,20.4,59.78,1.21,138
75.75,159.63,73.53,11.27,0.4,81.44,13.33,33.55,39.68,3.48,357
68.71,107.35,22.58,10.78,0.75,16.73,6.71,36.34,53.3,1.96,209
42.52,67.78,55.96,4.44,2.52,93.83,11.84,30.9,68.04,3.78,222
53.18,86.92,23.37,24.31,0.17,34.77,5.84,33.57,64.92,0.39,178
20.81,34.44,67.85,1.25,0.14,54.25,18.19,31.2,41.32,1.09,131
113.58,157.91,34.84,4.32,0.51,108.39,20.9,15.98,62.57,0.77,346
112.32,223.04,31.2,8.02,0.51,127.05,28.19,22.09,56.43,1.53,389
24.37,39.69,52.3,6.34,2.25,40.9,14.07,32.96,62.82,3.51,160
25.01,52.32,34.54,3.86,3.25,72.7,28.05,22.6,44.5,3.39,152
30.55,65.2,40.51,43.82,0.1,24.4,21.52,24.39,62.65,1.93,210
95.41,126.13,25.81,20.77,0.27,76.55,18.58,30.17,50.57,5.77,307
83.01,181.76,32.76,9.31,1.22,37.31,3.37,31.81,50.61,2.27,296
129.3,250.72,8.18,26.18,1.02,61.73,22.18,25.54,84.03,1.59,383
138.74,245.34,60.49,23.59,1.25,37.53,24.39,19.71,57.02,2.99,436
16.06,26.51,61.87,6.44,1.03,13.03,39.55,29.35,50.0,3.97,146
93.14,164.55,19.49,9.77,0.3,10.46,21.42,19.01,83.32,3.44,281
135.2,215.25,24.02,11.08,0.4,29.14,30.59,34.14,51.38,3.19,356
50.62,94.18,82.76,20.11,0.67,49.86,49.23,28.94,72.45,2.46,248
64.21,88.85,19.95,15.96,1.4,27.23,10.27,34.06,71.91,1.64,187
57.35,106.61,43.61,9.9,1.17,21.98,2.92,26.29,50.18,2.84,237
59.25,91.7,29.7,6.76,1.36,47.04,15.42,27.18,30.12,3.04,231
113.33,149.13,6.02,10.65,0.97,,2.15,21.05,84.69,3.26,289
189.79,341.14,35.85,3.78,2.67,52.51,41.71,6.95,51.88,3.16,500
156.16,284.3,59.51,5.13,1.26,73.31,40.37,20.06,75.55,1.32,500
44.11,74.28,21.62,9.06,1.72,60.49,7.62,18.49,49.69,2.94,205
78.76,107.51,8.62,10.19,1.87,75.87,11.11,21.25,54.87,6.36,244
34.56,72.72,46.27,35.61,1.14,9.6,32.89,26.69,37.36,1.15,193
37.56,69.5,6.31,5.29,2.08,42.33,23.95,28.36,27.92,2.97,155
62.17,87.3,6.75,1.6,1.42,54.09,3.39,26.65,96.85,0.24,178
36.74,64.65,85.58,7.24,0.61,53.32,40.7,17.66,84.76,1.78,202
41.34,72.24,53.3,6.18,0.73,42.01,8.34,34.31,60.17,1.03,168
77.46,104.91,27.04,8.84,1.07,89.39,24.02,29.39,86.82,6.88,263
92.26,170.33,36.67,7.69,0.47,113.88,19.95,12.38,27.04,4.61,327
90.6,183.7,11.35,10.01,1.36,48.1,9.31,23.27,,4.52,301
91.21,180.07,29.37,20.15,1.81,36.21,7.22,22.84,30.41,0.83,341
22.22,32.95,9.51,12.62,2.94,58.9,23.53,32.44,56.14,0.91,130
35.21,73.1,9.23,6.06,1.76,44.85,27.51,19.99,90.72,1.45,176
67.16,108.02,47.89,1.48,1.6,77.22,19.15,12.18,48.54,3.15,255
131.25,282.42,17.64,16.13,1.51,49.15,12.7,31.94,39.94,0.78,428
256.1,349.46,15.35,20.74,0.85,36.04,7.69,27.48,61.11,1.68,500
80.97,140.68,34.13,7.63,0.84,63.93,30.81,23.82,81.71,1.93,299
106.27,195.26,14.83,32.71,1.54,36.84,3.81,35.14,63.79,0.62,346
19.95,30.38,21.16,15.61,0.51,10.3,3.66,17.65,60.85,0.55,85
104.39,208.17,77.43,12.26,0.86,61.21,4.97,34.66,15.52,0.74,408
214.44,399.75,6.69,9.56,2.08,90.53,5.74,35.44,38.53,1.13,500
35.1,46.2,69.28,21.06,0.58,42.43,5.68,37.92,48.48,4.68,191
42.42,78.37,148.22,31.27,0.69,78.3,13.5,31.48,43.95,3.13,312
115.66,201.52,7.22,30.08,0.76,30.37,4.34,20.64,34.12,1.19,354
66.55,98.26,8.35,10.91,2.72,86.14,32.89,24.88,50.55,1.2,261
9.82,21.56,38.91,29.92,0.45,24.32,20.53,29.68,52.22,6.53,104
44.48,93.73,27.53,5.88,0.75,49.34,34.74,36.01,35.33,7.32,231
161.54,252.52,13.13,18.81,0.5,17.46,23.8,23.91,75.66,1.77,444
52.88,94.5,60.81,5.25,0.52,48.37,19.25,21.01,47.39,5.39,208
52.85,83.76,18.79,17.25,2.23,38.28,33.16,30.97,61.64,0.78,206
110.88,221.54,31.01,17.21,0.69,,9.43,28.52,49.9,4.7,339
82.98,177.35,42.77,7.64,1.13,54.77,8.94,29.51,63.2,4.13,298
50.74,82.34,36.45,6.04,1.19,26.22,39.08,33.8,19.94,5.9,186
40.21,81.43,25.55,27.85,0.77,21.1,16.75,30.02,44.16,2.94,182
332.16,580.8,44.2,4.17,1.42,70.51,12.83,24.7,24.68,0.26,500
144.76,239.85,5.74,3.0,0.77,32.16,38.37,34.32,42.16,2.39,373
91.19,195.57,53.11,14.94,0.52,25.21,12.16,28.3,28.51,1.16,305
95.15,167.41,19.94,10.64,0.95,51.53,16.03,30.56,63.2,2.63,299
59.52,102.41,40.46,14.76,2.4,35.32,7.46,35.78,70.38,0.79,212
82.3,156.8,24.72,6.38,0.68,29.4,12.31,25.03,72.97,3.48,255
54.95,84.35,15.39,6.88,0.88,8.05,1.0,27.52,46.62,7.43,187
32.49,51.74,23.26,10.89,0.73,14.51,73.35,35.69,56.93,2.47,143
84.53,180.79,31.71,11.04,1.04,21.7,9.86,25.72,50.78,1.22,272
51.46,98.32,35.6,10.42,0.95,27.81,14.55,32.4,,6.11,203
87.55,178.95,32.13,30.93,0.57,9.18,26.8,21.32,83.85,3.3,325
98.86,152.64,14.45,32.8,1.49,38.15,23.54,31.67,19.36,3.63,311
90.7,162.3,10.34,3.9,0.78,73.07,12.05,36.07,29.23,1.35,273
30.29,65.86,11.29,14.93,0.94,29.31,52.51,26.14,29.62,4.12,136
47.34,75.12,20.98,4.6,0.6,28.12,10.02,33.68,68.66,6.47,130
52.21,75.42,40.03,37.16,1.77,40.55,34.37,31.19,24.11,6.35,206
123.99,218.19,42.02,7.03,1.19,87.18,25.46,18.94,51.11,1.03,399
119.83,197.6,16.08,8.86,0.5,49.98,19.15,28.02,73.39,2.23,336
36.94,53.32,25.65,20.7,0.1,31.58,15.61,30.51,47.63,4.8,133
21.74,45.65,6.33,5.09,0.44,38.32,29.44,34.96,31.06,0.77,76
263.64,577.81,18.76,2.93,0.88,130.12,17.19,28.17,43.05,4.52,500
88.3,159.98,15.99,5.01,0.45,39.5,19.1,33.12,26.17,4.84,274
19.12,38.18,12.92,23.43,0.9,158.07,15.41,25.17,33.68,1.6,141
41.88,86.82,27.79,8.21,0.32,21.13,33.66,19.86,73.9,6.47,162
127.36,245.91,79.18,22.18,1.31,31.82,18.84,14.31,55.37,3.69,447
224.73,301.08,26.73,11.3,1.08,51.88,15.67,22.63,71.35,1.66,500
201.85,291.05,55.85,2.3,0.53,24.61,5.6,13.77,64.17,1.12,500
85.79,117.01,47.89,6.27,1.38,49.78,7.94,17.82,82.79,3.2,259
65.49,85.73,16.69,13.64,2.42,30.57,37.95,7.36,36.46,0.83,215
27.85,43.88,44.46,1.11,0.51,103.48,6.65,21.38,35.9,0.41,150
69.52,114.92,82.24,15.55,0.75,54.2,13.18,16.52,35.84,7.11,269
31.19,47.31,8.43,2.97,1.36,23.08,19.97,24.49,56.16,6.23,117
47.7,64.78,47.84,6.63,0.53,103.52,1.34,27.25,89.92,3.38,217
115.58,205.37,24.21,31.22,1.92,51.41,58.83,15.86,31.65,1.24,428
54.74,84.63,14.53,31.72,1.94,43.11,32.4,36.84,59.57,2.41,224
52.03,104.91,34.04,16.76,0.32,141.3,26.41,36.53,56.55,3.0,262
62.96,82.31,34.72,12.53,0.72,180.08,22.65,25.88,42.84,0.45,259
287.87,592.51,110.08,6.99,3.33,104.51,28.35,30.58,38.11,3.72,500
25.28,54.59,15.03,2.19,0.62,25.88,6.99,28.43,38.24,4.13,81
79.69,154.96,26.7,11.3,0.79,25.16,1.0,22.93,5.0,2.13,257
190.67,373.77,26.32,8.71,0.5,12.13,7.3,16.93,46.24,3.9,500
62.83,134.46,14.95,7.46,1.11,30.01,26.86,22.69,77.68,3.18,239
143.05,212.88,11.52,26.29,0.63,31.95,3.52,23.25,44.72,2.94,382
,44.72,18.42,4.92,1.15,52.76,9.57,35.47,32.59,0.63,112
56.1,111.98,23.54,52.11,0.69,12.29,17.47,36.0,11.6,0.73,221
34.06,66.55,10.84,20.35,0.1,47.42,20.72,18.76,83.58,6.93,109
62.34,101.31,49.76,8.65,0.16,19.12,6.14,26.81,72.06,5.91,221
63.31,113.4,37.25,1.66,1.87,31.43,30.25,29.68,62.36,0.79,223
68.15,128.7,8.66,19.67,2.43,17.19,27.45,46.6,9.16,1.38,228
114.88,213.49,18.15,45.93,0.58,18.46,20.72,15.89,76.05,8.41,361
6.03,11.66,28.23,62.92,2.27,24.65,6.32,41.91,55.12,2.13,104
40.4,55.52,42.69,5.23,0.45,7.71,36.55,25.85,32.52,5.55,170
75.97,123.07,23.68,20.94,0.19,28.66,17.33,21.58,7.99,4.43,255
10.41,17.6,41.01,3.7,0.77,38.48,9.08,19.07,91.58,2.42,83
99.67,152.96,32.66,1.74,1.62,30.95,12.5,20.65,71.77,2.24,311
39.79,57.92,44.46,25.79,1.91,118.3,8.0,35.79,49.32,4.63,246
56.9,81.09,13.37,7.01,0.44,35.58,14.78,35.38,10.64,1.42,155
,192.8,38.08,8.79,1.11,30.61,37.7,27.47,38.63,0.44,369
147.22,256.77,24.28,8.62,2.26,9.21,31.73,28.67,33.65,1.12,420
101.7,137.98,54.75,1.0,1.03,55.78,20.2,29.17,55.08,2.23,329
24.63,53.01,13.11,8.73,0.52,41.72,7.45,13.97,60.44,3.5,69
98.35,195.6,33.11,29.73,0.11,96.38,17.19,18.76,61.63,5.32,353
102.79,201.23,26.86,7.77,2.47,65.48,20.78,39.38,68.42,5.96,372
89.73,130.61,22.41,13.28,2.04,11.93,12.06,34.76,62.11,1.94,269
162.6,299.75,18.84,2.3,0.55,12.42,54.32,30.36,88.06,1.52,469
69.42,123.35,19.99,19.51,3.65,71.42,29.58,19.37,62.68,0.58,265
158.65,346.53,75.45,7.22,0.94,15.36,12.22,30.03,71.0,2.58,500
158.04,311.8,21.9,4.82,1.65,36.14,44.85,28.22,94.38,3.32,500
104.71,190.38,71.76,4.71,0.96,14.22,35.7,26.53,66.13,6.02,385
80.57,166.43,22.39,43.51,0.15,30.63,20.85,34.47,42.94,2.93,275
90.08,129.68,29.0,1.07,2.72,68.34,28.69,23.87,65.88,4.11,287
185.0,243.03,25.55,17.26,2.21,72.97,8.96,27.71,40.75,3.25,490
131.14,251.94,74.54,1.37,1.01,54.81,8.23,22.85,39.4,4.95,470
27.35,37.98,46.0,17.42,0.1,33.3,40.75,30.41,71.55,8.81,126
86.27,121.11,17.44,5.49,1.46,35.66,5.8,19.47,16.52,1.24,245
32.6,64.24,6.66,17.19,0.12,69.19,52.95,24.89,50.74,1.33,102
38.85,59.96,17.79,9.76,0.51,6.52,31.19,31.17,62.12,5.77,126
49.17,91.74,61.64,13.85,0.88,17.26,12.69,23.25,63.09,4.01,262
18.53,39.4,9.23,12.28,2.82,37.6,4.73,26.19,55.91,2.99,148
30.83,48.86,7.0,12.08,1.74,45.05,5.7,40.18,40.37,0.92,128
168.24,251.59,14.71,1.67,0.5,86.73,32.37,36.65,91.43,3.7,490
38.65,53.96,10.77,4.57,2.1,26.22,15.27,32.21,50.62,2.27,130
115.31,163.44,12.37,21.04,0.17,94.26,12.47,28.49,44.43,9.16,361
73.9,100.21,3.95,6.73,0.77,65.03,49.36,26.56,78.29,9.86,226
95.52,131.71,29.38,9.57,0.86,28.79,17.89,20.72,31.08,0.39,295
98.26,165.93,33.81,4.1,1.21,16.62,14.11,19.86,54.47,5.02,294
29.67,47.14,21.82,5.13,0.18,12.25,23.56,21.34,29.12,2.02,117
114.86,222.37,6.77,38.6,0.54,58.41,23.86,30.36,34.19,5.67,422
22.34,46.54,14.78,31.13,1.82,64.76,35.88,25.74,49.19,1.28,165
37.36,74.95,33.04,17.37,3.26,23.13,4.1,24.81,60.41,3.59,178
97.3,172.97,36.34,18.68,0.75,23.51,36.75,25.69,72.33,3.47,281
28.0,38.98,4.14,14.39,0.44,63.69,5.32,16.09,35.36,2.18,94
9.25,17.93,26.14,11.06,0.58,26.56,45.86,22.84,87.54,1.81,84
83.52,135.85,13.78,40.32,0.69,22.32,26.56,24.17,54.11,1.25,257
15.44,21.26,24.87,7.01,0.35,83.4,21.71,14.44,46.54,0.68,104
103.49,213.0,7.34,5.45,1.58,12.26,4.55,29.94,73.86,1.89,313
51.93,83.31,4.93,7.75,1.54,9.91,18.74,29.76,64.59,1.6,183
82.7,123.76,21.38,7.64,1.36,185.02,16.01,35.74,44.91,2.84,276
81.65,170.18,22.95,21.54,1.09,3.37,64.6,26.57,61.95,2.41,285
108.62,229.39,11.85,5.74,1.91,31.86,3.63,23.38,53.68,2.37,356
99.22,159.25,67.65,10.8,1.58,85.11,26.56,21.81,49.9,8.57,321
27.78,44.98,13.44,15.2,3.52,35.54,6.16,32.52,22.99,2.19,128
54.34,98.99,13.23,12.41,1.32,7.64,6.72,32.29,45.88,4.14,201
82.63,161.97,25.48,3.52,1.1,33.21,11.56,29.69,70.14,1.38,272
160.47,217.72,23.07,15.1,0.81,44.24,9.63,24.92,65.46,0.83,442
,183.08,13.49,13.17,1.18,74.06,31.46,38.84,66.43,3.41,312
151.71,327.33,33.61,17.21,0.29,36.11,29.63,26.1,52.22,3.47,465
85.63,131.52,33.43,16.26,0.71,7.64,9.25,23.37,80.43,0.18,262
132.62,280.88,25.88,16.91,0.79,38.77,2.71,31.46,53.88,1.7,449
77.99,168.09,29.19,1.0,0.5,23.1,63.06,23.6,41.82,3.08,265
129.13,199.16,24.24,4.8,0.24,114.44,6.38,17.49,68.77,2.05,384
49.93,98.8,23.17,23.26,0.69,43.9,15.32,42.04,63.68,1.22,203
172.24,260.92,7.46,5.61,0.53,40.21,19.29,32.46,56.3,2.69,470
92.27,181.2,26.96,24.36,0.63,45.29,25.31,27.61,97.07,1.57,328
18.66,37.66,46.58,7.6,1.07,17.18,9.35,28.01,100.0,0.88,135
84.54,128.71,29.23,6.36,4.81,30.08,10.7,18.89,67.8,3.27,282
100.04,194.51,19.6,7.83,0.94,49.63,45.0,27.61,58.79,7.33,329
117.46,238.56,45.14,81.26,0.26,70.36,13.66,25.22,46.28,3.76,436
210.41,341.44,29.26,10.07,1.07,72.35,4.57,23.24,52.88,1.25,500
44.01,63.86,13.35,20.07,0.78,59.08,41.79,18.79,72.65,3.27,158
211.29,292.17,45.06,56.79,0.56,96.8,20.3,19.05,37.7,2.0,500
65.51,119.09,16.72,15.72,0.38,37.16,21.34,26.95,46.55,7.6,197
35.87,78.21,9.66,38.67,2.01,48.77,4.57,26.6,52.87,1.67,138
44.77,91.35,12.0,22.9,0.88,36.38,13.38,28.29,37.0,1.63,160
96.12,162.65,15.47,17.42,1.09,53.99,3.79,23.21,20.05,4.34,276
31.65,56.42,7.08,3.4,0.77,63.53,12.26,21.85,5.0,1.8,139
50.58,78.48,58.32,8.68,2.59,13.43,9.44,32.48,48.36,3.43,216
83.11,120.24,4.7,15.73,1.02,24.35,8.22,28.93,44.52,6.63,247
171.39,297.17,36.58,6.46,0.96,46.78,10.37,31.32,61.49,2.98,491
115.27,197.93,30.32,16.66,2.11,18.12,25.51,36.97,24.53,2.24,352
67.44,119.34,28.88,9.77,1.75,18.0,3.19,26.23,23.47,2.26,256
95.82,206.74,33.36,4.99,0.8,22.38,5.03,18.79,69.84,4.58,321
77.57,142.99,21.15,20.01,0.7,12.65,14.0,20.72,45.04,2.7,248
24.3,44.84,36.7,14.33,2.03,14.45,8.41,21.59,55.47,2.6,130
190.36,269.41,22.64,17.36,0.67,17.69,30.36,22.93,81.96,5.42,486
173.11,380.31,18.06,12.58,0.92,17.71,6.43,25.12,25.22,0.39,500
61.86,123.45,7.91,7.31,0.7,13.03,25.98,33.59,65.27,2.68,202
46.03,96.17,31.25,10.59,0.43,50.97,5.27,20.29,46.64,2.02,213
24.81,41.5,31.68,6.64,3.09,43.25,10.78,24.86,37.28,4.38,156
99.86,174.95,24.19,34.12,0.69,78.84,18.47,29.46,61.54,2.85,309
100.3,177.51,42.22,14.62,3.11,24.59,27.18,29.1,59.61,1.03,361
,50.03,53.09,10.87,0.86,13.64,18.2,26.48,72.89,2.14,162
78.2,150.19,16.07,9.21,1.21,18.56,2.16,32.6,51.26,4.62,274
112.94,238.6,37.66,4.65,2.25,76.71,33.67,29.66,37.69,1.22,423
43.62,63.13,7.77,15.14,0.23,76.4,26.73,46.99,25.16,4.32,149
56.38,77.68,25.53,3.75,1.8,53.6,13.96,15.84,32.85,1.24,203
55.98,109.96,21.29,29.3,1.05,19.02,45.71,28.67,39.39,3.46,206
35.74,55.25,43.05,19.23,0.91,25.53,20.44,15.96,21.41,1.05,165
57.24,106.55,17.13,5.51,0.83,43.82,16.21,30.55,34.57,3.82,248
15.74,30.31,54.99,29.79,0.8,32.26,11.37,35.58,58.01,1.05,143
53.83,85.58,20.34,9.99,1.69,52.72,6.99,29.24,25.26,3.65,156
54.45,110.74,7.91,18.26,0.2,78.15,24.94,41.86,80.29,3.23,200
